软体动物，介壳形状像心脏，表面暗褐色，有轮状纹，内面色紫，栖淡水软泥中。肉可食，壳可入药。亦称“扁螺”。 | 蚬
方，始 | 才
仅仅 | 才
记载 | 纪
记年代的方式 | 纪
地质年代分期的第二级，纪以下为“世”，纪以上为“代”。 | 纪
法度 | 纪
散丝的头绪 | 纪
姓。 | 纪
古地名，在中国今山东省费县。 | 邴
姓。 | 邴
跟地面平行的，与“竖”、“直”相对 | 横
左右向的，跟目视方向垂直的，与“竖”、“直”、“纵”相对 | 横
地理学上指东西向的 | 横
凶暴，不讲理；蛮～。强～。～暴。～蛮。 | 横
意外的，不寻常的 | 横
不圆的珠子 | 玑
古代测天文的仪器 | 玑
北斗星名之一。 | 玑
把女子接过来成亲 | 娶
移动 | 挪
揉搓 | 挪
因由，因为 | 缘
宿命论认为人与人之间命中注定的遇合机会，泛指人与人或人与事物之间发生联系的可能性 | 缘
沿，顺着 | 缘
边 | 缘
田地的界限。 | 畔
边 | 畔
〔～援〕横暴，跋扈，如“帝谓文王，无然～援。”亦称“畔换”、“叛换”。 | 畔
古同“叛”。 | 畔
口腔后部由肌肉和黏膜构成的管子，分三部分，上段与鼻腔相对称“鼻咽”；中段与口腔相对称“口咽”；下段在喉的后部称“喉咽”。咽是呼吸道和消化道的共同通路（亦称“咽头”） | 咽
使嘴里的食物或别的东西通过咽头到食道里去 | 咽
阻塞，声音因阻塞而低沉 | 咽
体内含脂肪少，肌肉不丰满，与“胖”、“肥”相对 | 瘦
衣服鞋袜等窄小 | 瘦
细削，单薄 | 瘦
土地瘠薄 | 瘦
遒劲有骨力 | 瘦
相并，对偶 | 俪
指夫妇 | 俪
划船的一种工具，形状和桨差不多。 | 棹
划船 | 棹
船 | 棹
同“桌”。 | 棹
鸟和昆虫等用来飞行的器官 | 翅
翘出像翅的东西 | 翅
古同“啻”，但，只。 | 翅
连续，接着 | 继
用剪刀的两刃相夹切，用剪刀剪 | 铰
一种金属切削工具，称“铰刀”（方言，亦指剪刀）。 | 铰
用绞刀切削 | 铰
古同“韨”。 | 巿
陆地，高出水面的土地 | 陆
姓。陆离形容色彩繁杂 | 陆
“六”字的大写。 | 陆
佛教指出家修行的人，梵语“僧伽”的简称 | 僧
脚底用力猛踢 | 踹
失足踩下 | 踹
系于颌下的帽带。 | 纮
编磬成组的绳子。 | 纮
维系。 | 纮
网绳。 | 纮
束。 | 纮
形容中间宽阔。 | 纮
古通“宏”，宏大。 | 纮
〔～下〕对国王或皇帝的敬称。 | 陛
〔～见〕谒见皇帝。 | 陛
〔～辞〕臣子向皇帝告别。 | 陛
宫殿的台阶 | 陛
为了赌输赢或决定事情，预先在纸上做好记号揉成纸卷或纸团，然后每人抓去一个，打开看，按纸卷或纸团上定的行事。这种纸卷或纸团称“阄儿”，这种做法称“抓阄儿”。 | 阄
落叶小乔木，茎攀缘树上，叶掌状分裂，略作心脏形，花淡绿微红，果实球形，味酸。 | 茑
温度高，皮肤接触温度高的物体感觉疼痛 | 烫
用热的物体使另外的物体起变化 | 烫
特指“烫发（）” | 烫
物质能吸引铁、镍等金属的性质 | 磁
同“瓷”。 | 磁
〔～复〕变成原来的样子，如“健康已经～复”。 | 恢
弘大，发扬 | 恢
小石，碎石 | 砾
用通行的话解释古代语言文字或方言字义 | 诂
古同“槚”。 | 榎
器物上可以开关的机件 | 栓
塞子或作用跟塞子相仿的东西 | 栓
荸荠草本植物，生长在池沼或栽培在水田里，地下茎也叫荸荠，球状，皮赤褐色，肉白色，可以吃。 | 荠
荠菜，草本植物，叶羽状分裂，花白色。茎、叶嫩时可用作蔬菜，全草可入药。 | 荠
同“鲇”。 | 鲶
古代宫门上的楼台 | 魏
中国周代诸侯国名，在今河南省北部、陕西省东部、山西省西南部和河北省南部等地。 | 魏
中国历史上的三国之一。 | 魏
中国历史上的北朝之一 | 魏
姓。 | 魏
台阶上的空地，亦指台阶 | 墀
中医指胸腹间气机阻塞不舒的一种自觉症状，有的仅有胀满的感觉，称“痞块”、“痞积”。 | 痞
恶棍，流氓 | 痞
必得，应当 | 须
等待，停留 | 须
男人面上生的毛，胡子 | 须
〔～臾〕片刻，一会儿。 | 须
像胡须的东西 | 须
地神。说文解字 | 祇
安心。《诗经•小雅•何人斯》 | 祇
大。《易经•系辞下》 | 祇
正、恰、只。《诗经•小雅•何人斯》 | 祇
动物体内或油料植物种子内的油质 | 脂
指“胭脂” | 脂
〔～鸪〕鸟，背部和腹部黑白两色相杂，雄的有翅，雌的无翅。吃昆虫、蚯蚓、植物的种子。栖息于生有灌丛和疏树的山地。 | 鹧
（鹧） | 鹧
张开眼睛 | 睁
隐避起来 | 藏
收存起来 | 藏
储放东西的地方 | 藏
道教、佛教经典的总称 | 藏
中国少数民族，主要分布于西藏自治区和青海、四川等省 | 藏
中国西藏自治区的简称。 | 藏
古同“脏”。 | 藏
钢铁制的停船器具，用铁链连在船上，抛到水底，可以使船停稳 | 锚
增添，补助 | 裨
古代的次等礼服。 | 裨
副，偏，小 | 裨
红色 | 丹
依成方制成的颗粒状或粉末状的中药 | 丹
姓。 | 丹
与客观事实相符合，与“假”、“伪”相对 | 真
确实，的确 | 真
清楚，显明 | 真
本性，本原 | 真
人的肖像 | 真
汉字的楷书 | 真
姓。 | 真
〔～鱼〕头大嘴宽，尾圆而短，皮有黏质，无鳞，背部苍黑色，腹白色，上下颌有四根须。昼伏泥中，夜出活动。肉可食，鳔入药。 | 鲇
（鲇） | 鲇
玉名。 | 玮
美好。 | 玮
珍奇，贵重 | 玮
珍爱，珍视。 | 玮
高级官员的住所（现多用于外交场合） | 邸
旅舍 | 邸
停 | 邸
屏风。 | 邸
姓。 | 邸
急走，跑 | 奔
直往，趋向 | 奔
为某种目的而尽力去做 | 奔
雕刻 | 镂
可供刻镂用的刚坚的铁。 | 镂
古同“漏”，孔穴。 | 镂
叹惜，憾恨 | 惋
光明 | 耿
有骨气，刚正不阿 | 耿
姓。 | 耿
〔别～〕供游玩休养的住宅以外的房屋。 | 墅
田野的草房 | 墅
〔～酒〕用大麦作主要原料制成的酒。 | 啤
郊外，村外 | 野
界限，范围 | 野
指不当政的地位，与“朝（）”相对 | 野
不讲情理，没有礼貌 | 野
巨大而非分的欲望 | 野
不受约束 | 野
不是人工驯养或栽培的（动物或植物） | 野
大，有力，强盛 | 壮
增加勇气和力量 | 壮
中国少数民族，主要分布于广西壮族自治区及云南、四川、贵州等省（旧作“僮”） | 壮
上面有文字或图形的用木板或金属等制成供印刷用的东西 | 版
印刷物排印一次（可多次印刷）及有关的事物 | 版
报纸的一面 | 版
打土墙用的夹板 | 版
户籍 | 版
末了（），完了（），与“始”相对 | 终
从开始到末了 | 终
人死 | 终
到底，总归 | 终
姓。 | 终
面颊，腮 | 颐
休养，保养 | 颐
文言助词，无义 | 颐
〔～珞〕古代一种用珠玉穿成串、戴在颈项上的装饰品。 | 璎
（璎） | 璎
〔～河〕地名，在中国河南省。 | 漯
〔～河〕古水名，在今中国山东省。 | 漯
同“俊”。 | 隽
鸟肉肥美，味道好，引申为意味深长 | 隽
排列，摆设 | 陈
述说 | 陈
旧的，时间久的 | 陈
中国周代诸侯国名，在今河南省淮阳县一带。 | 陈
中国朝代名，南朝最末的王朝。 | 陈
姓。 | 陈
穷困 | 窘
难住，使为难 | 窘
近，时间紧迫 | 促
催，推动 | 促
谨慎选择 | 遴
平着向前扔 | 撇
汉字笔形之一，由上向左而斜下。 | 撇
像汉字的撇形的 | 撇
丢开，抛弃 | 撇
由液体表面舀取 | 撇
〔～头〕锤子。 | 榔
〔～榆〕落叶乔木，木材坚硬致密。 | 榔
病名，通常指精神病，患者神经错乱，精神失常 | 疯
言行狂妄 | 疯
农作物生长旺盛而不结果实 | 疯
古同“变”。 | 変
山水等弯曲的地方 | 隈
角落 | 隈
天干的第四位，用于作顺序第四的代称 | 丁
成年男子。 | 丁
人口。 | 丁
从事某种劳动的人 | 丁
〔～～〕象声词，形容伐木、下棋、弹琴的声音。 | 丁
〔～症〕中医指由风、寒、湿等引起的肢体疼痛或麻木的病。 | 痹
〔麻～〕见“麻”。 | 痹
供奉祖先的房屋 | 庙
供神佛或历史上有名人物的地方 | 庙
王宫的前殿，泛指朝廷 | 庙
化学元素“硅”的旧称。 | 矽
撮口作声，打口哨 | 啸
动物拉长声叫 | 啸
自然界发出的声音 | 啸
飞机或子弹掠过时发出的声音 | 啸
长期生病。 | 疚
忧苦，特指因自己过失而造成的心内痛苦 | 疚
哺乳动物的一属，形状略像狼。毛赤黄色，性狡猾多疑，遇见攻击时肛门放出臭气，乘机逃跑。皮可做衣服（通称“狐狸”） | 狐
姓。 | 狐
多年生草本植物，生浅水中。叶子大而圆。花大，有粉红、白色两种。种子称“莲子”，包在倒圆锥形的花托内，合称“莲蓬”。地下茎肥大而长，有节，称“藕”。种子和地下茎均可食（亦称“荷”、“芙蓉”、“芙蕖”、“菡萏”） | 莲
为躲避不利于自己的环境或事物而离开 | 逃
躲开不愿意或不敢接触的事物 | 逃
中心，正当中 | 央
恳求 | 央
尽，完了 | 央
两腮的胡子，亦泛指胡子 | 髯
〔伶～〕见“伶”。 | 仃
〔～璨〕形容珠玉的光泽。 | 璀
〔～子〕苹果属中的一种，比苹果小，熟的时候紫红色，味酸甜，略有点涩。 | 槟
（槟） | 槟
〔～榔〕常绿乔木，生长在热带，果实可食，亦可入药；这种植物的果实。 | 槟
（槟） | 槟
〔～泽〕地名，在中国山东省。 | 菏
古代打仗时防护身体，挡住敌人刀箭等的牌 | 盾
盾形的东西（多指硬币上的纹章） | 盾
〔薏～〕见“薏”。 | 苡
肉体表面的皮 | 肤
表面的，浅薄的 | 肤
大 | 肤
孔、洞 | 窦
人体某些器官或组织的内部凹入的部分 | 窦
端倪 | 窦
姓。 | 窦
模子 | 范
榜样 | 范
一定界限 | 范
限制 | 范
姓。 | 范
伺候，在旁边陪着 | 侍
用手把东西扯裂 | 撕
洗涤或盛放东西的陶制的器具 | 钵
高 | 崇
尊重，推重 | 崇
古同“终”，终了。 | 崇
充，充满 | 崇
增长 | 崇
姓。 | 崇
大雁 | 鸿
大 | 鸿
指书信 | 鸿
姓。 | 鸿
传说中上古帝王名 | 尧
商议，询问 | 咨
用于同级机关的一种公文 | 咨
叹气的声音 | 咨
落叶乔木，像白杨，木材细致，可以制造蒸笼、铅笔和火柴等。 | 椴
豆科植物的长形果实，亦指狭长无隔膜的其他草木的果实 | 荚
姓。 | 邓
含脂肪多的，与“瘦”相对 | 肥
土质含养分多的 | 肥
能增加田地养分的东西（如粪、豆饼、化学配合剂等） | 肥
使田地增加养分 | 肥
指衣服鞋袜等宽大，与“瘦”相对 | 肥
复杂 | 繁
多 | 繁
兴盛 | 繁
生物增生新个体 | 繁
〔～台〕中国河南省开封市东南的古迹。 | 繁
姓。 | 繁
土和水合成的东西 | 泥
像泥的东西 | 泥
涂抹 | 泥
固执，死板 | 泥
古同“赖”。 | 頼
丢失（连—失）。 | 遗
漏掉（连—漏） | 遗
丢失的东西，漏掉的部分 | 遗
余，留 | 遗
不自觉地排泄大小便或精液 | 遗
赠与 | 遗
快走 | 趋
归向，情势向着某方面发展 | 趋
鹅或蛇伸头咬人。 | 趋
追求，追逐 | 趋
古同“促”，催促；急速。 | 趋
发下 | 颁
古同“班”、“斑”，头发花白。 | 颁
用鞭棍等打人 | 挞
一种金属元素。钴的放射性同位素钴在机械、化工、冶金等方面都有广泛的应用，在医疗上可以代替镭治疗癌症。 | 钴
雪花或乳汁那样的颜色 | 白
明亮 | 白
清楚 | 白
纯洁 | 白
空的，没有加上其它东西的 | 白
没有成就的，没有效果的 | 白
没有付出代价的 | 白
陈述 | 白
与文言相对 | 白
告语 | 白
丧事 | 白
把字写错或读错 | 白
政治上反动的 | 白
中国少数民族，主要分布于云南省 | 白
姓。 | 白
古代称民（特指外来的） | 氓
〔流～〕见“流”。 | 氓
处分犯罪、犯错误或违犯某项规则的人 | 罚
房屋前檐伸出的部分，可避风雨，遮太阳 | 廊
庑下，殿下外屋 | 廊
有顶的过道 | 廊
〔～虫〕指能咬树干、衣服、书籍和粮食等的小虫，如天牛、衣鱼、米象；喻侵犯国家、公众利益的坏人。 | 蛀
被虫子咬坏 | 蛀
高坡地 | 坻
水中的小块高地 | 坻
同“痹”。 | 痺
古代的契据，常分为两半，双方各执其一，现代指票据或作凭证的纸片 | 券
〔拱～〕门窗、桥梁等建筑成弧形的部分。 | 券
收敛，收藏 | 戢
止，停止 | 戢
姓。 | 戢
起头，最初，与“终”相对 | 始
才，刚才 | 始
〔～水〕。 | 溧
〔～阳〕均为地名，均在中国江苏省。 | 溧
古同“药”。 | 薬
修饰、打扮 | 妆
供打扮用的物品，演员的衣装服饰 | 妆
女子出嫁时陪送的衣物 | 妆
修饰，打扮的式样 | 妆
尽，用尽 | 竭
闲散的，多余无用的 | 冗
忙，繁忙的事 | 冗
远 | 辽
中国朝代名 | 辽
中国辽宁省的简称。 | 辽
用酒食招待客人，泛指请人受用 | 飨
祭祀。 | 飨
同“享”。 | 飨
爱 | 宠
纵容，偏爱 | 宠
妾 | 宠
推崇 | 宠
〔～瘩〕皮肤上突起或肌肉上结成的病块，如“头上起了个～瘩”；小球形或块状的东西，如“芥菜～瘩”；不易解决的问题，如“思想～瘩”；不通畅或不爽利，如“这篇作文中的语句很～瘩”；量词，如“一～瘩糕”；麻烦，别扭。均亦作“疙疸”（“瘩”、“疸”均读轻声）。 | 疙
痴呆的样子。 | 疙
伯劳鸟。 | 鵙
水鸟，俗称“野鸭”，似鸭，雄的头部绿色，背部黑褐色，雌的全身黑褐色，常群游湖泊中，能飞。 | 凫
同“浮”。 | 凫
〔～茈〕古书上指“荸荠”。 | 凫
同“洑”。 | 凫
使视线接触人或物 | 看
观察，判断 | 看
访问，拜望 | 看
照应，对待 | 看
想，以为 | 看
先试试以观察它的结果 | 看
提防，小心 | 看
安排 | 看
守护，监视 | 看
用竹、苇、树枝等编成的围墙屏障 | 篱
接 | 迎
面对着，冲着 | 迎
揣度别人心意而投其所好 | 迎
盛放物品的扁而浅的用具 | 盘
形状像盘或有盘的功用的东西 | 盘
回旋，回绕，屈曲 | 盘
垒，砌 | 盘
仔细查究 | 盘
指市场上成交的价格 | 盘
转让（工商企业） | 盘
搬运 | 盘
量词 | 盘
姓。 | 盘
开，滚，液体受热到一定温度时，内部发生气泡，表面翻滚，变成蒸气 | 沸
波涌的样子 | 沸
闭，对拢 | 合
聚集 | 合
不违背，一事物与另一事物相应或相符 | 合
应该 | 合
总共，全 | 合
计，折算 | 合
中国古代乐谱的记音符号，相当于简谱中的低音“”。 | 合
中国市制容量单位，一升的十分之一。 | 合
旧时量粮食的器具，容量为一合，木或竹制，方形或圆筒形。 | 合
裂缝 | 隙
感情上的裂痕 | 隙
闲，空 | 隙
机会，空子 | 隙
际，接近 | 隙
青白色的马。 | 骢
〔～楚〕古书上说的一种植物。 | 苌
姓。 | 苌
包含，盛（） | 容
对人度量大 | 容
让，允许 | 容
相貌，仪表，景象，状态 | 容
或许，也许 | 容
姓。 | 容
和悦，快意 | 愉
古同“偷”，苟且敷衍。 | 愉
熔炼金属 | 冶
好过分的装饰打扮（含贬义） | 冶
古同“野” | 冶
姓。 | 冶
好处，与“害”“弊”相对 | 利
使顺利、得到好处 | 利
与愿望相符合 | 利
刀口快，针尖锐，与“钝”相对 | 利
从事生产、交易、货款、储蓄所得超过本钱的收获 | 利
姓。 | 利
古代重量单位，二十四铢等于旧制一两（亦有其他说法，标准不一） | 铢
不锋利 | 铢
傻，笨 | 愚
欺骗，耍 | 愚
谦辞，用于自称 | 愚
（旧读）福，吉祥 | 禧
喜庆 | 禧
每个，彼此不同 | 各
〔自～儿（）〕自己，亦作“自个儿”。 | 各
方言，特别 | 各
奸诈 | 猾
像胆汁或黄连的滋味，与“甘”相对 | 苦
感觉难受的 | 苦
为某种事所苦 | 苦
有耐心地，尽力地 | 苦
使受苦 | 苦
称呼父亲。 | 爸
〔～蚣〕节肢动物，由许多环节构成，每节有脚一对，头部的脚像钩子，能分泌毒液，捕食小虫，中医入药。 | 蜈
水边深处 | 浔
中国江西省九江市的别称。 | 浔
美好 | 佼
织布时用梭穿织的竖纱，编织物的纵线，与“纬”相对 | 经
地理学上指通过南北极与赤道成直角的线（亦作“子午线”） | 经
作为思想、道德、行为等标准的书，亦称宗教中讲教义的书，或称某一方面事物的专著 | 经
治理，管理 | 经
通过 | 经
禁受 | 经
常行的，历史不变的 | 经
中医指人体内较大的脉络 | 经
表示动作的时间而且完成了 | 经
缢死，上吊 | 经
妇女每月一次由阴道排出血液 | 经
古同“京”，数目。 | 经
姓。 | 经
约请 | 邀
取得，希求 | 邀
阻留 | 邀
高等动物神经系统的主要部分，在颅腔里，主管感觉和运动。人脑又是思想记忆等心理活动的器官 | 脑
头 | 脑
形状或颜色像脑的东西 | 脑
指从物体中提炼出的精华部分 | 脑
教导，教诲 | 训
可以作为法则的话 | 训
典式，法则 | 训
解释词的意义 | 训
广大 | 溥
普遍 | 溥
姓。 | 溥
外界事物所引起的喜、怒、爱、憎、哀、惧等心理状态 | 情
专指男女相爱的心理状态及有关的事物 | 情
对异性的欲望，性欲 | 情
私意 | 情
状况 | 情
肉食 | 荤
佛教徒称葱蒜等有特殊气味的菜 | 荤
指低级、粗俗的语言 | 荤
液体很快地流 | 泻
排出稀屎 | 泻
惊人的，不祥的 | 噩
好处，深厚的情谊 | 恩
〔～～〕平坦的样子。 | 町
田界田间小路 | 町
〔畹～〕见“畹”。 | 町
〔～赫〕形容名声很大，声势很盛。 | 煊
同“暄”。 | 煊
〔～蟥〕环节动物，身体长形，稍扁，黑绿色，尾端有吸盘。生活在池沼或水田中，吸食人畜的血液。亦称“马鳖”、“水蛭”。 | 蚂
〔～蚁〕见“蚁”。 | 蚂
〔～蚱〕“蝗虫”的俗称。 | 蚂
（蚂） | 蚂
〔～螂〕“蜻蜓”的俗称。 | 蚂
（蚂） | 蚂
〔～性〕柔软，非流质，可任意变形的性质。 | 塑
〔～料〕具有可塑性的高分子化合物的统称，经加热加压而形成的，具有一定形状的材料。 | 塑
用泥土等做成人、物的形象 | 塑
杀 | 戮
〔～力〕合力，并力，如“～力同心”。 | 戮
羞辱，侮辱 | 戮
用刀向下砍 | 剁
家禽，品种很多，翅膀短，不能高飞；雄性啼能报晓，雌性生的蛋是好食品 | 鸡
原故，原由，事物发生前已具备的条件 | 因
理由 | 因
依，顺着，沿袭 | 因
古同“庄”。 | 荘
碰在硬东西上 | 磕
把东西向较硬处碰使附着物掉下来 | 磕
壮大，多用于人名，如中国唐代和尚“玄奘”。 | 奘
说话粗鲁，态度生硬 | 奘
粗大 | 奘
水边 | 浒
〔～墅关〕。 | 浒
〔～浦〕均为地名，均在中国江苏省。 | 浒
（浒） | 浒
说明是非或争论真假 | 辩
从高处往下看，俯视 | 瞰
窥看。 | 瞰
远望 | 瞰
〔傈～族〕见“傈”。 | 僳
量词（指整卷的绸或布；指马、骡等）。 | 匹
单独 | 匹
相当，相敌，比得上 | 匹
砍断 | 斩
建筑物的根脚 | 基
根本的，起始的 | 基
根据 | 基
化学上化合物的分子中所含的一部分子原子被看作是一个单位时，称作“基” | 基
组成花冠的各片 | 瓣
植物的种子、果实或球茎可以分开的片状物 | 瓣
物体破裂分成的部分。 | 瓣
量词。 | 瓣
古同“鬬”。 | 闘
公牛，特指骟去睾丸的公牛。 | 犍
〔～为（）〕地名，在中国四川省。 | 犍
次序 | 第
科举考试及格的等次 | 第
封建社会官僚贵族的大宅子 | 第
但 | 第
姓。 | 第
上肢，近肩的部分 | 膊
〔厚～〕厚切肉。 | 膊
分裂尸体而曝之 | 膊
〔蟾～〕见“蟾”。 | 蜍
闪射的光彩 | 辉
照耀 | 辉
常绿乔木，树干很高很直。木材白色，质轻，有香味，可供建筑和制器具用。 | 杉
义同（一） | 杉
义未详。 | 嵙
物理学上指热能除以温度所得的商，标志热量转化为功的程度。 | 熵
科学技术上泛指某些物质系统状态的一种量（）度，某些物质系统状态可能出现的程度。亦被社会科学用以借喻人类社会某些状态的程度。 | 熵
虚心，不自满，不自高自大 | 谦
住处接近的人家 | 邻
接近，附近 | 邻
接近，亲近 | 邻
古代五家为一邻，五邻为一里。 | 邻
〔～水〕水名，在中国河南省。亦称“安阳河”。 | 洹
山又高又陡 | 峭
形容严峻 | 峭
混有某种物质的水 | 汁
进 | 晋
中国周代诸侯国名。 | 晋
中国山西省的别称 | 晋
中国朝代名 | 晋
一种非金属元素，无臭无味的固体。无定形碳有焦炭，木炭等，晶体碳有金刚石和石墨。冶铁和炼钢都需要焦炭。在工业上和医药上，碳和它的化合物用途极为广泛。 | 碳
欺诈，玩弄手段 | 谲
〔麒～〕古代传说中的一种动物，像鹿，全身有鳞甲，有尾。古代以其象征祥瑞，亦用来喻杰出的人物。简称“麟”，如“凤毛～角”，“～凤龟龙”。 | 麟
见“证”。 | 証
谏正 | 証
按，摸 | 扪
长而坚硬的羽毛 | 翰
借指毛笔和文字、书信等 | 翰
通常指某些能爬蔓的植物 | 萝
竹子或草木茎分枝长叶的部分 | 节
物体的分段或两段之间连接的部分 | 节
段落，事项 | 节
中国历法把一年分为二十四段，每段开始的名称 | 节
纪念日或庆祝宴乐的日子 | 节
礼度 | 节
音调高低缓急的限度 | 节
操守 | 节
省减，限制 | 节
略去，简略 | 节
古代出使外国所待的凭证 | 节
姓。 | 节
〔～骨眼儿〕喻关键的，能起决定性作用的环节或时机（“骨”读轻声）。 | 节
两脚离地全身向上或向前的动作 | 跳
越过 | 跳
一起一伏地动 | 跳
古同“逃”。 | 跳
词尾，表人的复数 | 们
图们江，水名，发源于吉林，流入日本海。图们，地名，在吉林。 | 们
光明 | 炜
加入在内 | 参
相间，夹杂 | 参
检验，用其他有关材料来研究，考证某事物 | 参
探究，领悟 | 参
旧指下级进见上级 | 参
弹劾，向皇帝告状 | 参
星名，二十八宿之一 | 参
中药名 | 参
〔～差（）〕长短不齐，如“～差（）不齐”、“～差（）错落”。 | 参
古同“叁”，三的大写。 | 参
做买卖得利，跟“赔”相对 | 赚
做买卖得利 | 赚
占便宜 | 赚
骗 | 赚
中国周代诸侯国名，在今陕西省和甘肃省一带 | 秦
中国朝代名 | 秦
中国陕西省的别称。 | 秦
父亲 | 爹
对老人或长者的尊称 | 爹
进行工作或活动 | 做
写文 | 做
制造 | 做
当，为 | 做
装，扮 | 做
举行，举办 | 做
用为 | 做
结成（关系） | 做
用米面等食物煮成的半流质食品 | 粥
像粥的东西 | 粥
古同“育”，生养。 | 粥
古同“鬻”，卖。 | 粥
会合，集合 | 聚
健壮，有力，与“弱”相对 | 强
程度高 | 强
胜过，优越，好 | 强
有余，略多于某数 | 强
使用强力，硬性地 | 强
着重，增加分量 | 强
硬要，迫使，尽力 | 强
固执，强硬不屈 | 强
彼此友好的人 | 朋
结党 | 朋
成群 | 朋
古代以贝壳为货币，五贝为一串，两串为一朋。 | 朋
比 | 朋
姓。 | 朋
耕地，把土翻起来 | 垡
翻起来的地块 | 垡
量词，相当于次，番。 | 垡
有损的，与“益”相对 | 害
引起灾难的人或事物，坏处 | 害
使受损伤 | 害
发生疾病 | 害
心理上发生不安定情绪 | 害
杀死 | 害
妒忌 | 害
〔蝙～〕见“蝙”。 | 蝠
把车套在牲口身上，使拉（车或农具） | 驾
古代车乘的总称，亦特指帝王的车，转指帝王 | 驾
使开动，操纵 | 驾
在……上面，超出 | 驾
对人的敬辞 | 驾
用草或棕毛做成的防雨器 | 蓑
用草覆盖。 | 蓑
同“铁”。 | 鉄
割去男人的或雄性动物的生殖器 | 阉
太监，封建时代的宦官 | 阉
平凡（指人） | 碌
繁忙 | 碌
〔～碡〕农具，用来轧脱谷粒或轧平场院。 | 碌
〔～木〕多年生草本植物，茎直立中空，根可入药。亦称“西芎”、“抚芎”。 | 藁
依照原样摹画或重复地画 | 描
村落，田舍 | 庄
封建社会君主、贵族等所占有的成片土地 | 庄
商店的一种名称 | 庄
某些种类的赌博，局中人轮流为主 | 庄
四通八达的道路 | 庄
严肃，端重 | 庄
姓。 | 庄
忧忠，凶丧 | 闵
古同“悯”，怜恤，哀伤。 | 闵
古同“悯”，忧虑。 | 闵
勉力 | 闵
昏味，糊涂 | 闵
姓。 | 闵
东西一头挂下 | 垂
敬辞，用于别人（多是长辈或上级）对自己的行动 | 垂
传下去，传留后世 | 垂
接近，快要 | 垂
单纯、独一、集中在一件事上 | 专
独自掌握和占有 | 专
姓。 | 专
加工切削机器零件上已有的钻孔 | 镗
同“嘡”。 | 镗
用犁把土翻松 | 耕
美玉。 | 珺
铜质圆形的打击乐器，两个圆铜片，中心鼓起成半球形，正中有孔，可以穿绸条等用以持握，两片相击作声。 | 钹
古代官署名 | 寺
佛教出家人居住的地方 | 寺
伊斯兰教徒礼拜、讲经的地方 | 寺
抛，投掷 | 扔
丢弃，舍弃 | 扔
强牵引 | 扔
摧。 | 扔
古同“仍”，仍然。 | 扔
正规的，标准的 | 雅
美好的，高尚的，不粗俗的 | 雅
平素，素来 | 雅
极，甚 | 雅
交往 | 雅
酒器名 | 雅
中国周代朝庭上的乐歌 | 雅
古同“鸦”，乌鸦。 | 雅
金属制成的响器，中空，敲时发声 | 钟
计时的器具 | 钟
指某个一定的时间，小时 | 钟
杯子。 | 钟
集中，专一 | 钟
古代器名，一种圆形铜壶。 | 钟
中国古代计量单位，春秋时齐国以十釜为“钟”（标准不一）。 | 钟
姓。　　　　　　　　　　　。 | 钟
〔～雳〕响声极大的雷。 | 霹
〔～雷〕即“霹雳”。 | 霹
原指用茅草覆盖房子，后泛指修理房屋 | 葺
累积，重叠 | 葺
〔琵～〕见“琵”。 | 琶
缺乏财物 | 穷
处境恶劣 | 穷
达到极点 | 穷
完了 | 穷
推究到极点 | 穷
分辨不清，失去了辨别、判断的能力 | 迷
醉心于某种事物，发生特殊的爱好 | 迷
沉醉于某种事物的人 | 迷
使人陶醉 | 迷
滑稽，可笑，有趣 | 哏
滑稽有趣的言语或动作 | 哏
古同“狠”，凶恶的样子。 | 哏
古同“很”，非常。 | 哏
光明 | 奕
累，重 | 奕
大 | 奕
美貌 | 奕
睡眠时身体内外各种刺激或残留在大脑里的外界刺激引起的景象活动 | 梦
本义为禾末，引申为略微 | 稍
〔～息〕军事或体操的口令。 | 稍
文言助词，无义，用于句首或句中。 | 聿
〔～皇〕轻疾的样子，如“武骑～皇”。 | 聿
古代称笔，用笔写文章。 | 聿
两端的距离 | 长
长度大，与“短”相对，指空间，亦指时间 | 长
优点，专精的技能 | 长
对某事做得特别好 | 长
生长，成长 | 长
增加 | 长
排行第一的 | 长
辈分高或年纪大 | 长
领导人；负责人 | 长
姑且，暂且 | 苟
马虎，随便 | 苟
如果，假使 | 苟
姓。 | 苟
经去毛加工制成的柔皮 | 韦
〔～伯〕磁通量实用单位，一韦伯等于麦克斯韦。 | 韦
姓。 | 韦
在花瓣下部的一圈叶状绿色小片 | 萼
〔～～〕形容走路缓缓从容的样子，如“～～来迟”。 | 姗
古同“讪”，讥讽。 | 姗
同“崽”。 | 仔
〔～细〕周密，细致，如“办事～细”。 | 仔
幼小的（多指家畜） | 仔
〔～肩〕所担负的职务。 | 仔
力量不够而尽力做 | 勉
劝人努力，鼓励 | 勉
努力 | 勉
遮断 | 隔
相去有一段距离 | 隔
思想感情有距离 | 隔
多年生草本植物，花紫色，可入药，亦称“大蓟”。 | 蓟
节肢动物的一类 | 虫
动物的通称 | 虫
覆盖在肩背上 | 披
穿戴 | 披
打开，散开 | 披
劈开，裂开 | 披
做熟的鱼肉等 | 肴
化装 | 扮
鸟，羽毛茶褐色，嘴、脚都很长，趾间无蹼，常在水边或田野中捕吃小鱼、小虫和贝类 | 鹬
人使用工具的上肢前端 | 手
拿着 | 手
